DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
11/21/2025,PROVINCE OF B.C  PAY,,1236.82,2750.44
11/21/2025,SEND E-TFR ***8Qr,2250,,500.44
11/21/2025,SEND E-TFR ***6qE,150.44,,350
11/21/2025,JQ023 TFR-TO 4012227,50,,300
11/21/2025,JQ030 TFR-TO C/C,75,,225
11/21/2025,SEND E-TFR ***UzV,125,,100
11/21/2025,SEND E-TFR ***U8r,75,,25
11/21/2025,JI340 TFR-FR 7152309,,15.18,40.18
11/21/2025,SEND E-TFR ***aMJ,40.18,,0
11/24/2025,JC541 TFR-FR 4012227,,50.03,50.03
11/24/2025,JC554 TFR-FR 7152309,,6.86,56.89
11/24/2025,E-TRANSFER ***ebc,,87.71,144.6
11/24/2025,APPLE.COM/BILL    _V,92.92,,51.68
11/24/2025,APPLE.COM/BILL    _V,49.25,,2.43
11/24/2025,E-TRANSFER ***cHX,,10,12.43
11/24/2025,SEND E-TFR ***jSN,12.43,,0
11/27/2025,PROVINCE OF B.C  PAY,,1097.62,1097.62
11/27/2025,SEND E-TFR ***7Ak,100,,997.62
11/28/2025,DD/DOORDASHBIRY   _V,69.99,,927.63
11/28/2025,APPLE.COM/BILL    _V,39.19,,888.44
11/28/2025,SEND E-TFR ***7gm,388.44,,500
11/28/2025,JO463 TFR-TO C/C,79.41,,420.59
11/28/2025,JO470 TFR-TO 4012227,50,,370.59
11/28/2025,SHELL C47030      _F,106.27,,264.32
11/28/2025,OVERDRAFT INTEREST,0.02,,264.3
11/28/2025,WITHDRAWAL FEES,40,,224.3
11/28/2025,MONTHLY ACCOUNT FEE,3.95,,220.35
12/1/2025,BCF - ONLINE SA   _V,20,,200.35
12/1/2025,BCF - ONLINE SA   _V,20,,180.35
12/1/2025,BAKECARGO         _V,46.52,,133.83
12/1/2025,SUBWAY 14690      _F,34.86,,98.97
12/1/2025,APPLE.COM/BILL    _V,59.33,,39.64
12/1/2025,APPLE.COM/BILL    _V,14.55,,25.09
12/2/2025,WW111 TFR-FR 4012227,,16.85,41.94
12/2/2025,SHELL C47030      _F,17.92,,24.02
12/2/2025,WALMART STORE #,23.85,,0.17
12/3/2025,WALMART STORE #,,34.7,34.87
12/3/2025,7-ELEVEN STORE    _F,18.08,,16.79
12/3/2025,RHINO COFFEE HO   _F,14.55,,2.24
12/4/2025,E-TRANSFER ***tGA,,40,42.24
12/4/2025,11199 MACS CONV   _F,18.42,,23.82
12/4/2025,BLUEBIRD CAB      _F,19.55,,4.27
12/5/2025,SHOPPERS DRUG M   _F,3.58,,0.69
12/5/2025,PROVINCE OF B.C  PAY,,2027.46,2028.15
12/5/2025,SEND E-TFR ***wzd,528.15,,1500
12/5/2025,JG562 TFR-TO 4012227,75,,1425
12/5/2025,JG571 TFR-TO 7152309,21.38,,1403.62
12/5/2025,JG501 TFR-TO C/C,78.63,,1324.99
12/5/2025,SEND E-TFR ***Ez4,340,,984.99
12/5/2025,SEND E-TFR ***GCA,75,,909.99
12/5/2025,BC-HYDRO-BILL-P   _V,91,,818.99
12/5/2025,PAYMENTUS-SERVI   _V,0.75,,818.24
12/5/2025,SHAW CABLESYSTE   _V,173.47,,644.77
12/5/2025,BELL MOBILITY     _V,177.76,,467.01
12/5/2025,KSI LAW/DYNDESC   _V,462.15,,4.86
12/8/2025,JM310 TFR-FR 4012227,,70,74.86
12/8/2025,SEND E-TFR ***4C6,70,,4.86
12/8/2025,UD590 TFR-FR C/C,,16,20.86
12/8/2025,LX504 TFR-TO C/C,20.86,,0
12/8/2025,LC351 TFR-FR 4012227,,5,5
12/8/2025,LC355 TFR-FR 7152309,,8.41,13.41
12/8/2025,SEND E-TFR ***CM9,13.41,,0
12/10/2025,E-TRANSFER ***2Nb,,200,200
